Číslo obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
538647,Postřižín,726,482,480,86,2,0,26,1,36,24,5,4,13,2,3,51,1,0,22,128,0,1,8,0,4,1,2,58,2
535168,Řepín,518,300,298,36,0,0,10,0,29,23,2,3,11,1,1,25,0,1,15,102,0,1,13,0,0,0,0,25,0
535192,Spomyšl,355,203,203,30,1,0,17,0,5,20,0,8,5,1,0,23,0,0,11,47,2,0,3,0,1,0,0,27,2
531731,Stránka,169,89,89,2,0,0,10,0,4,9,0,0,4,0,0,7,0,0,3,35,0,0,6,0,0,0,0,9,0
535214,Střemy,377,221,220,16,5,0,14,0,16,12,2,2,3,0,0,22,0,0,9,77,0,1,8,1,2,0,0,30,0
535222,Tišice,1 743,1 065,1 062,161,3,2,78,1,78,44,11,15,19,1,1,127,0,1,35,346,1,0,13,0,8,1,3,111,2
531561,Tuhaň,541,321,319,29,0,1,16,0,22,24,6,7,15,3,0,30,1,0,11,86,0,1,14,0,2,2,2,46,1
529583,Tupadly,118,59,59,4,0,0,8,0,5,11,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,10,0
599492,Újezdec,110,70,70,3,0,0,6,0,4,8,0,1,0,0,0,7,0,0,6,20,0,0,3,0,0,0,0,12,0
535257,Úžice,699,405,404,41,2,0,35,0,27,39,6,4,7,0,0,48,0,3,11,125,0,2,5,0,1,1,3,42,2
535265,Velký Borek,826,507,503,56,0,1,35,0,50,48,5,8,7,0,0,51,0,0,19,142,0,1,5,0,2,1,3,68,1
535273,Veltrusy,1 574,1 076,1 072,130,1,1,70,1,85,74,10,4,15,0,3,147,0,5,53,281,3,1,37,0,8,3,0,138,2
531936,Vidim,128,77,77,4,0,0,7,0,6,10,1,1,0,1,0,7,0,0,2,23,0,0,4,1,0,0,0,10,0
535290,Vojkovice,571,340,340,48,1,0,19,0,23,33,2,3,4,1,0,18,0,0,6,120,0,0,3,0,1,0,0,57,1
535303,Vraňany,690,387,386,38,1,1,23,1,16,51,2,5,6,0,1,45,0,0,12,119,0,2,11,0,2,1,0,49,0
535311,Všestudy,283,176,172,33,0,0,11,0,7,14,1,1,2,0,0,19,0,0,9,49,0,0,0,0,0,1,0,22,3
535320,Všetaty,1 755,990,985,116,2,1,59,0,51,69,10,8,17,1,1,112,1,0,53,345,2,0,14,1,2,4,1,115,0
535338,Vysoká,697,375,374,44,1,0,17,0,18,31,5,4,15,1,0,38,0,1,15,121,0,0,11,0,1,4,0,42,5
535354,Zálezlice,315,164,163,18,0,0,7,0,7,20,4,1,4,0,0,12,0,1,8,52,0,1,1,0,0,0,0,26,1
531511,Zlončice,422,241,241,36,1,0,20,0,27,8,8,0,6,2,0,28,0,0,23,51,0,0,3,0,1,1,1,25,0
535389,Zlosyň,374,228,228,25,0,0,9,1,28,16,2,4,3,0,0,34,0,0,14,74,1,0,1,0,0,1,0,14,1
535397,Želízy,398,220,218,10,0,1,11,0,13,17,3,7,7,0,0,28,0,0,17,68,0,2,3,0,4,0,3,23,1
